symbol,name,sector,composite_score,value_score,momentum_score,quality_score,flow_score,news_score,analyst_conviction_score,analyst_avg_score,analyst_report_count,analyst_broker_diversity,analyst_target_revision_pct,analyst_novelty_score,analyst_fwd_ret_5d,analyst_fwd_ret_20d,analyst_alpha_ret_5d,analyst_alpha_ret_20d,analyst_bias_adjustment,analyst_parse_quality_score,analyst_pdf_coverage,analyst_target_upside_pct,analyst_target_dispersion_pct,analyst_agreement_score,analyst_recency_score,analyst_latest_title,analyst_revision_breadth_score,analyst_revision_breadth_count,analyst_positive_revision_ratio,analyst_peer_spillover_score,analyst_peer_alpha_5d,analyst_peer_support_count,macro_sector_score,macro_regime_score,macro_micro_interaction_score,ml_pred_return_5d,ml_pred_score,ml_sector_score,ml_model_type,ml_train_rows,flow_top_brokers,flow_event_mix,micro_ofi,micro_foreign_pressure,micro_broker_concentration,micro_queue_imbalance,micro_absorption_score,microstructure_score,flow_intraday_samples,flow_intraday_avg_5m,flow_intraday_avg_15m,flow_intraday_avg_30m,flow_intraday_avg_60m,flow_intraday_last_event,flow_intraday_last_captured_at,factor_rank_score,analyst_rank_score,flow_state_score,flow_rank_score,flow_intraday_edge_score,flow_intraday_rank_score,micro_rank_score,macro_rank_score,ml_rank_score,active_source_count,card_score
097230,HJ중공업,건설,,,,,,,8.4074,1.3423,2.0,1.0,0.0,0.7414,0.0,0.0,0.0,0.0,-0.036,0.7521,0.5,66.0079,0.0,1.0,0.7029,HJ중공업(097230) 신호탄,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,0.45382352941176474,0.07193074386272975,0.9058823529411765,0.5882352941176471,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.5595238095238095,,,,,,0.4117647058823529,0.9058823529411765,3,0.6133720930232557
215200,메가스터디교육,교육서비스,,,,,,,9.5607,3.2167,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0739,1.0,1.0,25.0,0.0,1.0,0.8568,메가스터디교육(215200) 국내 교육기업 대장,1.0,1.0,1.0,-0.0773,-0.3935,1.0,0.0,1.8,0.6126470588235294,0.03222261849382167,0.49411764705882355,0.2431372549019608,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.7023809523809523,,,,,,0.7411764705882353,0.49411764705882355,3,0.6072259136212623
011070,LG이노텍,디스플레이/IT부품,,,,,,,9.4345,2.8568,2.0,2.0,0.0,0.7964,0.0,0.0,0.0,0.0,-0.0036,0.5832,0.0,17.5549,4.0,0.96,0.8154,안 살 이유가 없다,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.8,0.5914705882352942,0.03440849476204597,0.5411764705882353,0.5411764705882353,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.6666666666666666,,,,,,0.6941176470588235,0.5411764705882353,3,0.5991694352159468
047050,포스코인터내셔널,무역회사와판매업체,,,,,,,9.2875,2.1161,3.0,3.0,0.0,0.7936,0.0,0.0,0.0,0.0,0.0115,0.5714,0.0,20.4986,3.3838,0.7662,0.8568,"단단한 펀더멘털, 축소될 밸류에이션 갭",1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.8,0.5173529411764706,0.03588488387498415,0.5647058823529412,0.5647058823529412,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.6428571428571429,,,,,,0.5294117647058824,0.5647058823529412,3,0.5651162790697674
402340,SK스퀘어,복합기업,0.6189666666666666,0.5,0.8399999999999999,0.5333333333333333,0.6749999999999999,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.8,0.44852941176470595,0.01948007889294018,0.2823529411764706,0.43137254901960786,ridge_fewshot,6,,,,,,,,,0,,,,,,,0.8,,,,,,,0.4,0.2823529411764706,3,0.5556064690026954
271560,오리온,음식료/담배,,,,,,,8.2624,0.9476,4.0,3.0,0.0,0.7662,0.0,0.0,0.0,0.0,-0.0467,0.7071,0.25,30.2474,4.7176,0.8028,0.776,"춘절 끝, 이제는 앞만 보고 달린다",0.7018,2.0,1.0,0.0,0.0,0.0,0.0,1.8,0.40617647058823536,0.05006160741633485,0.7764705882352941,0.7764705882352941,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.5238095238095238,,,,,,0.3058823529411765,0.7764705882352941,3,0.5413621262458471
034730,SK,석유와가스,,,,,,,8.4844,3.3901,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1981,0.6498,0.0,-0.2494,0.0,1.0,0.8568,자사주 소각에 따른 재무적 효과 결국 주가에..,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,0.6232352941176471,0.027292518466227603,0.38823529411764707,0.38823529411764707,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.5714285714285714,,,,,,0.7647058823529411,0.38823529411764707,3,0.5338870431893686
006400,삼성SDI,2차전지/배터리,,,,,,,9.1819,2.3091,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0181,0.582,0.0,28.7554,0.0,1.0,0.8154,26년 영업 흑자 전환 예상,1.0,1.0,1.0,0.2414,0.0,1.0,0.0,1.8,0.533235294117647,0.03048748712668181,0.4470588235294118,0.40588235294117647,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.6309523809523809,,,,,,0.5647058823529412,0.4470588235294118,3,0.5329734219269102
064760,티씨케이,반도체와반도체장비,,,,,,,9.0537,2.4193,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0094,0.5742,0.0,33.6303,0.0,1.0,0.7029,1Q26 예상 영업이익 QoQ +53.0%,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.8,0.5491176470588235,0.029900254177190437,0.43529411764705883,0.55,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.6190476190476191,,,,,,0.6,0.43529411764705883,3,0.5322259136212624
001040,CJ,철강/비철금속,,,,,,,7.8819,1.8347,3.0,2.0,0.0,0.7768,0.0,0.0,0.0,0.0,0.1891,0.7597,0.3333,6.7887,2.0203,0.7798,0.8154,푸드빌 호실적. 올리브영 가치도 multiple에 ..,1.0,2.0,1.0,0.0228,0.0,1.0,0.0,1.8,0.475,0.04234481627216312,0.7058823529411765,0.5882352941176471,ridge_fewshot,6,,,,,,,,,0,,,,,,,,0.4642857142857143,,,,,,0.4588235294117647,0.7058823529411765,3,0.529485049833887
