source,news_id,symbol,stock_name,title,time,published_at,raw,title_norm,title_sentiment,title_confidence,uncertainty_score,story_repeat_count,story_source_breadth,story_first_seen,news_novelty_score,news_source_breadth_score,news_diffusion_score,news_score
GOOGLE_NEWS_RSS,GOOGLE_NEWS_RSS,010130,고려아연,"“中 독점 흔든다”…고려아연, 폐제품서 희토류 뽑아낸다",,,"{'id': 'GOOGLE_NEWS_RSS', 'code': '010130', 'name': '고려아연', 'title': '“中 독점 흔든다”…고려아연, 폐제품서 희토류 뽑아낸다', 'published_at': 'Wed, 18 Mar 2026 02:20:37 GMT', 'link': 'https://news.google.com/rss/articles/CBMiT0FVX3lxTE5ZQndfaGVORy1NZHZYU2tGYmpNSGtsWEhqZF9reVlTMDhEOVl0T0Y1UU8xUEctNjNKUWJPZ1o0eEFNVDJveWh0LVBxd2JoMFU?oc=5', 'provider': 'v.daum.net'}",독점 흔든다 고려아연 폐제품서 희토류 뽑아낸다,0.0,0.0,0.0,1.0,1.0,,1.0,0.5,0.8868528072345416,3.6868528072345415
GOOGLE_NEWS_RSS,GOOGLE_NEWS_RSS,010130,고려아연,"고려아연, 오너가 선투자한 기업에 800억 투입",,,"{'id': 'GOOGLE_NEWS_RSS', 'code': '010130', 'name': '고려아연', 'title': '고려아연, 오너가 선투자한 기업에 800억 투입', 'published_at': 'Mon, 16 Mar 2026 09:05:41 GMT', 'link': 'https://news.google.com/rss/articles/CBMiWkFVX3lxTE01azhBYThGU2VfZDRMNDlPYlNlM3pMYWFFNGVCS05QVHFiek0tOElwb0xaX2szcjJYaHZoTGE0NWNFOWlqQ2pxUXNCMm93RjBQR3NQNHJnQzRTQdIBVEFVX3lxTE0zT2g0NVBkbTQ3UXZJSVhfMy1lcTVRQzd3WHdoTnZ4QnZXSWFnU1kzUW02QmxSSmtpcklfaVc4WTItamRnMElhVldiaVpKZHZxT0FwNg?oc=5', 'provider': '한국경제'}",고려아연 오너가 선투자한 기업에 800억 투입,0.0,0.0,0.0,1.0,1.0,,1.0,0.5,0.8868528072345416,3.6868528072345415
GOOGLE_NEWS_RSS,GOOGLE_NEWS_RSS,010130,고려아연,"국민연금, 최윤범 고려아연 회장 재선임에 의결권 ‘미행사’",,,"{'id': 'GOOGLE_NEWS_RSS', 'code': '010130', 'name': '고려아연', 'title': '국민연금, 최윤범 고려아연 회장 재선임에 의결권 ‘미행사’', 'published_at': 'Thu, 19 Mar 2026 15:55:05 GMT', 'link': 'https://news.google.com/rss/articles/CBMiVEFVX3lxTE1wbWxWbjEwZC1nOWZjU0ZnZVFsTTBsOEozVGFtN1JaS3JqWFJ4SjFOS1EycUJmZ0pGNEc4b2ppS3pTX3RNWmFpY0RKTlEzTzJXd1RFVg?oc=5', 'provider': '매일경제'}",국민연금 최윤범 고려아연 회장 재선임에 의결권 미행사,0.0,0.0,0.0,1.0,1.0,,1.0,0.5,0.8868528072345416,3.6868528072345415
NAVER_FINANCE,NAVER_FINANCE,006800,미래에셋증권,AI 전력 수요·고유가에 신재생에...,,2026-03-22 00:00:00+09:00,"{'id': 'NAVER_FINANCE', 'code': '006800', 'name': '미래에셋증권', 'title': 'AI 전력 수요·고유가에 신재생에...', 'published_at': '2026-03-22T00:00:00+09:00', 'link': 'https://finance.naver.com/item/news_read.naver?article_id=0005495388&office_id=014&code=006800&sm=entity_id.basic', 'provider': 'NAVER_FINANCE'}",ai 전력 수요 고유가에 신재생에,0.0,0.0,0.0,1.0,1.0,2026-03-22 00:00:00+09:00,1.0,0.5,0.6228060421555648,2.9774030140320846
NAVER_FINANCE,NAVER_FINANCE,006800,미래에셋증권,"""AI 투자 패러다임 변화…금·우라늄·헤알화 매력...",,2026-03-22 00:00:00+09:00,"{'id': 'NAVER_FINANCE', 'code': '006800', 'name': '미래에셋증권', 'title': '""AI 투자 패러다임 변화…금·우라늄·헤알화 매력...', 'published_at': '2026-03-22T00:00:00+09:00', 'link': 'https://finance.naver.com/item/news_read.naver?article_id=0005265381&office_id=015&code=006800&sm=entity_id.basic', 'provider': 'NAVER_FINANCE'}",ai 투자 패러다임 변화 금 우라늄 헤알화 매력,0.0,0.0,0.0,1.0,1.0,2026-03-22 00:00:00+09:00,1.0,0.5,0.6228060421555648,2.9774030140320846
NAVER_FINANCE,NAVER_FINANCE,006800,미래에셋증권,믿을 건 '삼전닉스'…고수들 순매수 행진,,2026-03-22 00:00:00+09:00,"{'id': 'NAVER_FINANCE', 'code': '006800', 'name': '미래에셋증권', 'title': ""믿을 건 '삼전닉스'…고수들 순매수 행진"", 'published_at': '2026-03-22T00:00:00+09:00', 'link': 'https://finance.naver.com/item/news_read.naver?article_id=0005265379&office_id=015&code=006800&sm=entity_id.basic', 'provider': 'NAVER_FINANCE'}",믿을 건 삼전닉스 고수들 순매수 행진,1.0,1.0,0.0,1.0,1.0,2026-03-22 00:00:00+09:00,1.0,0.5,0.6228060421555648,5.106961965657746
NAVER_FINANCE,NAVER_FINANCE,006800,미래에셋증권,"연금 투자 고수들, 반도체 ETF 많이 담았다",,2026-03-22 00:00:00+09:00,"{'id': 'NAVER_FINANCE', 'code': '006800', 'name': '미래에셋증권', 'title': '연금 투자 고수들, 반도체 ETF 많이 담았다', 'published_at': '2026-03-22T00:00:00+09:00', 'link': 'https://finance.naver.com/item/news_read.naver?article_id=0005265376&office_id=015&code=006800&sm=entity_id.basic', 'provider': 'NAVER_FINANCE'}",연금 투자 고수들 반도체 etf 많이 담았다,0.0,0.0,0.0,1.0,1.0,2026-03-22 00:00:00+09:00,1.0,0.5,0.6228060421555648,2.9774030140320846
NAVER_FINANCE,NAVER_FINANCE,006800,미래에셋증권,"예금 떠나 주식으로 머니무브…대형 증권사, 은행 ...",,2026-03-22 00:00:00+09:00,"{'id': 'NAVER_FINANCE', 'code': '006800', 'name': '미래에셋증권', 'title': '예금 떠나 주식으로 머니무브…대형 증권사, 은행 ...', 'published_at': '2026-03-22T00:00:00+09:00', 'link': 'https://finance.naver.com/item/news_read.naver?article_id=0002797105&office_id=028&code=006800&sm=entity_id.basic', 'provider': 'NAVER_FINANCE'}",예금 떠나 주식으로 머니무브 대형 증권사 은행,0.0,0.0,0.0,1.0,1.0,2026-03-22 00:00:00+09:00,1.0,0.5,0.6228060421555648,2.9774030140320846
GOOGLE_NEWS_RSS,GOOGLE_NEWS_RSS,006800,미래에셋증권,"41억 받은 미래에셋증권 연봉킹, 회장도 부회장도 아니다…평균 연봉 1.57억",,,"{'id': 'GOOGLE_NEWS_RSS', 'code': '006800', 'name': '미래에셋증권', 'title': '41억 받은 미래에셋증권 연봉킹, 회장도 부회장도 아니다…평균 연봉 1.57억', 'published_at': 'Mon, 16 Mar 2026 23:21:24 GMT', 'link': 'https://news.google.com/rss/articles/CBMicEFVX3lxTE5GU08wMXNvY2hPRWVicVZJeWhzZU9iS1hCTEtVd2Y1TXlvQWg1ZmtiOVJ1S2RyREpxMllZMUx1N3VTdFV4eUg1bmw3akpqbW1pLWhSWDRISWlVV1FQMGxxNEdBdHhkdS1kOXF6cnZOelE?oc=5', 'provider': '연합인포맥스'}",41억 받은 미래에셋증권 연봉킹 회장도 부회장도 아니다 평균 연봉 1 57억,0.0,0.0,0.0,1.0,1.0,,1.0,0.5,0.8868528072345416,3.6868528072345415
GOOGLE_NEWS_RSS,GOOGLE_NEWS_RSS,006800,미래에셋증권,"미래에셋증권, 리테일 대신 본사 영업 확대…'디지털자산' 중심 재편",,,"{'id': 'GOOGLE_NEWS_RSS', 'code': '006800', 'name': '미래에셋증권', 'title': ""미래에셋증권, 리테일 대신 본사 영업 확대…'디지털자산' 중심 재편"", 'published_at': 'Thu, 19 Mar 2026 05:56:00 GMT', 'link': 'https://news.google.com/rss/articles/CBMigwFBVV95cUxOdWh5YjNHaFY5b295Y3JHakZQOFZVT2p5MUhmLV8tTE9NcUl4ZDRoRy1GOEJITXNBa1hQc2VqdXg5bVNqQ01TYm1UQ1ZheW1UWm9LbG03bzdYY2E3YXRhczFrUlYwRThyVlpXelpzeHp6Sk4zSFdrekhuZGphbVZpdTNoSQ?oc=5', 'provider': '인베스트조선'}",미래에셋증권 리테일 대신 본사 영업 확대 디지털자산 중심 재편,0.0,0.0,0.0,1.0,1.0,,1.0,0.5,0.8868528072345416,3.6868528072345415
