symbol,name,sector,composite_score,value_score,momentum_score,quality_score,flow_score,news_score,analyst_conviction_score,analyst_avg_score,analyst_report_count,analyst_broker_diversity,analyst_target_revision_pct,analyst_novelty_score,analyst_fwd_ret_5d,analyst_fwd_ret_20d,analyst_alpha_ret_5d,analyst_alpha_ret_20d,analyst_bias_adjustment,analyst_parse_quality_score,analyst_pdf_coverage,analyst_latest_title,flow_top_brokers,flow_event_mix,flow_intraday_samples,flow_intraday_avg_5m,flow_intraday_avg_15m,flow_intraday_avg_30m,flow_intraday_avg_60m,flow_intraday_last_event,flow_intraday_last_captured_at,factor_rank_score,analyst_rank_score,flow_state_score,flow_rank_score,flow_intraday_edge_score,flow_intraday_rank_score,active_source_count,card_score
271560,오리온,음식료/담배,,,,,,,3.2484,0.9484,4.0,3.0,0.0,0.7658,0.0,0.0,0.0,0.0,-0.0454,0.7091,0.25,"춘절 끝, 이제는 앞만 보고 달린다",,,0,,,,,,,,0.5714285714285714,,,,,1,0.5232142857142856
064760,티씨케이,반도체와반도체장비,,,,,,,3.1193,2.4193,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0094,0.5742,0.0,1Q26 예상 영업이익 QoQ +53.0%,,,0,,,,,,,,0.5595238095238095,,,,,1,0.513095238095238
006400,삼성SDI,2차전지/배터리,,,,,,,3.0091,2.3091,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0181,0.582,0.0,26년 영업 흑자 전환 예상,,,0,,,,,,,,0.5476190476190477,,,,,1,0.5029761904761905
005440,현대지에프홀딩스,복합기업,,,,,,,2.9999,2.2999,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.051,0.6322,0.0,조정이 주는 멋진 기회!,,,0,,,,,,,,0.5357142857142857,,,,,1,0.4928571428571428
017670,SK텔레콤,통신서비스,,,,,,,2.9701,2.3863,1.0,1.0,0.0,0.8,5.0667,0.0,-0.2905,0.0,0.0684,0.6195,0.0,이번엔 기대가 되는 4월입니다,,,0,,,,,,,,0.5238095238095238,,,,,1,0.48273809523809524
039200,오스코텍,제약,,,,,,,2.9539,2.0539,2.0,1.0,0.0,0.7455,0.0,0.0,0.0,0.0,-0.0771,0.8726,0.5,오스코텍(039200) NDR 후기: 열매가 주렁주렁,,,0,,,,,,,,0.5119047619047619,,,,,1,0.47261904761904755
138930,BNK금융지주,금융지주/은행,,,,,,,2.7201,2.0201,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2337,0.6165,0.0,"1분기 NIM 상승과 대손비용 안정화, CET 1 비..",,,0,,,,,,,,0.4880952380952381,,,,,1,0.45238095238095233
023160,태광,조선/해양,,,,,,,2.6927,1.9927,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0853,0.559,0.0,앞으로 좋아질 실적과 주주환원까지,,,0,,,,,,,,0.47619047619047616,,,,,1,0.4422619047619047
041510,에스엠,엔터테인먼트/게임,,,,,,,2.6652,0.8652,4.0,2.0,0.0,0.7475,0.0,0.0,0.0,0.0,0.0673,0.8354,0.5,에스엠(041510) P/E 밴드 하단에서 여전히 매력적인 투자처,,,0,,,,,,,,0.4642857142857143,,,,,1,0.4321428571428571
256150,한독크린텍,가정용기기와용품,,,,,,,2.5348,1.8348,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0429,0.5798,0.0,국내 정수기용 카본블록 필터 1위 업체,,,0,,,,,,,,0.4523809523809524,,,,,1,0.42202380952380947
089850,유비벨록스,전자제품,,,,,,,2.3501,1.4501,2.0,1.0,0.0,0.762,0.0,0.0,0.0,0.0,0.1938,0.8071,0.5,유비벨록스(089850) 독점적 지위 갖춰가는 사업 한두 개가 아니다,,,0,,,,,,,,0.44047619047619047,,,,,1,0.4119047619047619
356860,티엘비,반도체와반도체장비,,,,,,,2.3122,1.4122,2.0,1.0,0.0,0.7511,0.0,0.0,0.0,0.0,0.1938,0.808,0.5,"티엘비(356860) 티엘비, 공장투어 후기 (추가 증설 결정)",,,0,,,,,,,,0.42857142857142855,,,,,1,0.40178571428571425
353200,대덕전자,전자장비와기기,,,,,,,2.2579,0.6579,3.0,2.0,0.0,0.7633,0.0,0.0,0.0,0.0,0.0709,0.7505,0.3333,"서버 FCBGA 공급 가시화, 멀티플 리레이팅 근..",,,0,,,,,,,,0.39285714285714285,,,,,1,0.3714285714285714
053030,바이넥스,제약,,,,,,,2.2456,1.3456,2.0,1.0,0.0,0.746,0.0,0.0,0.0,0.0,-0.0687,0.8069,0.5,바이넥스(053030) 상업화 생산 확대를 위한 준비,,,0,,,,,,,,0.38095238095238093,,,,,1,0.36130952380952375
097230,HJ중공업,건설,,,,,,,2.2423,1.3423,2.0,1.0,0.0,0.7414,0.0,0.0,0.0,0.0,-0.036,0.7521,0.5,HJ중공업(097230) 신호탄,,,0,,,,,,,,0.36904761904761907,,,,,1,0.35119047619047616
053580,웹케시,소프트웨어,,,,,,,2.0669,1.1669,2.0,1.0,0.0,0.7777,0.0,0.0,0.0,0.0,-0.1051,0.925,0.5,웹케시(053580) 콥데이 後記: 금융 AI Agent 기업으로 도약 중,,,0,,,,,,,,0.35714285714285715,,,,,1,0.3410714285714285
025540,한국단자,자동차부품,,,,,,,2.0178,1.3178,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2127,0.679,0.0,실적 회복과 배당은 기본. 더 큰 미래도 가능..,,,0,,,,,,,,0.34523809523809523,,,,,1,0.33095238095238094
316140,우리금융지주,금융지주/은행,,,,,,,1.9972,1.2972,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2125,0.6347,0.0,동양생명 완전자회사화는 ABL생명 통합을 위..,,,0,,,,,,,,0.3333333333333333,,,,,1,0.3208333333333333
089970,브이엠,반도체와반도체장비,,,,,,,1.9929,1.2929,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2296,0.595,0.0,예상보다 좋습니다,,,0,,,,,,,,0.32142857142857145,,,,,1,0.3107142857142857
042500,링네트,IT서비스,,,,,,,1.7966,1.0966,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.076,0.5642,0.0,네트워크 통합(NI)의 수익 방정식,,,0,,,,,,,,0.30952380952380953,,,,,1,0.3005952380952381
376930,노을,건강관리장비와용품,,,,,,,1.7926,1.0926,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0998,0.596,0.0,스케일업 단계로 진입,,,0,,,,,,,,0.2976190476190476,,,,,1,0.29047619047619044
214180,헥토이노베이션,IT서비스,,,,,,,1.7665,1.1853,1.0,1.0,0.0,0.8,0.0,0.0,-0.297,0.0,-0.0047,0.6252,0.0,실적과 모멘텀 모두 매력적이다!,,,0,,,,,,,,0.2857142857142857,,,,,1,0.2803571428571428
298050,HS효성첨단소재,화학/석유화학,,,,,,,1.606,0.906,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.1328,0.5548,0.0,든든한 본업과 탄소섬유 기대감 부각,,,0,,,,,,,,0.27380952380952384,,,,,1,0.2702380952380952
078520,에이블씨엔씨,화장품,,,,,,,1.4023,0.7023,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0196,0.7312,0.0,"실적, 밸류에이션, 주주환원 완벽한 3박자",,,0,,,,,,,,0.2619047619047619,,,,,1,0.26011904761904764
004690,삼천리,전력/유틸리티,,,,,,,1.3496,0.6496,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2215,0.596,0.0,보유 자사주 소각 긍정적,,,0,,,,,,,,0.25,,,,,1,0.25
306200,세아제강,철강/비철금속,,,,,,,1.2906,0.3906,2.0,1.0,0.0,0.7697,0.0,0.0,0.0,0.0,0.0085,0.7934,0.5,"세아제강(306200) 하방은 프로젝트, 상방은 유가",,,0,,,,,,,,0.23809523809523808,,,,,1,0.23988095238095236
068930,디지털대성,교육서비스,,,,,,,1.0912,0.5486,1.0,1.0,0.0,0.8,0.5599,0.0,-0.3935,0.0,0.0,1.0,1.0,올해도 N수생 多,,,0,,,,,,,,0.2261904761904762,,,,,1,0.22976190476190475
307950,현대오토에버,IT소프트웨어 (플랫폼/SI),,,,,,,1.0763,0.1763,2.0,1.0,0.0,0.7756,0.0,0.0,0.0,0.0,0.0239,0.7903,0.5,현대오토에버(307950) GTC 2026 ‘HMG-엔비디아’ 로봇/자율주행 협력의 숨은 수혜자,,,0,,,,,,,,0.21428571428571427,,,,,1,0.21964285714285714
