symbol,name,sector,analyst_conviction_score,analyst_avg_score,analyst_report_count,analyst_broker_diversity,analyst_target_revision_pct,analyst_latest_title,composite_score,factor_rank_score,analyst_rank_score,flow_state_score,flow_rank_score,card_score
017670,SK텔레콤,Unknown,4.0,3.3,1,1,0.0,이번엔 기대가 되는 4월입니다,,,0.6785714285714286,,,0.6785714285714286
229640,LS에코에너지,Unknown,3.75,2.85,2,1,0.0,LS에코에너지(229640) 희토류 탈중국화 밸류체인 한 축을 담당하면서 성장성 부각,,,0.6547619047619048,,,0.6547619047619048
023160,태광,Unknown,3.7,3.0,1,1,0.0,앞으로 좋아질 실적과 주주환원까지,,,0.6428571428571429,,,0.6428571428571429
005380,현대차,Unknown,3.4,2.5,2,1,0.0,현대차(005380) 팰리세이드 리콜 관련 업데이트,,,0.625,,,0.625
256150,한독크린텍,Unknown,3.4,2.7,1,1,0.0,국내 정수기용 카본블록 필터 1위 업체,,,0.625,,,0.625
138930,BNK금융지주,Unknown,3.3,2.6,1,1,0.0,"1분기 NIM 상승과 대손비용 안정화, CET 1 비..",,,0.6071428571428571,,,0.6071428571428571
004000,롯데정밀화학,Unknown,3.2,2.5,1,1,0.0,롯데정밀화학(004000) 암모니아 가격 상승으로 인한 반사수혜 전망,,,0.5476190476190477,,,0.5476190476190477
005680,삼영전자,Unknown,3.2,2.5,1,1,0.0,"삼영전자(005680) 순현금이 많은 기업, 신사업 추진",,,0.5476190476190477,,,0.5476190476190477
014830,유니드,Unknown,3.2,2.5,1,1,0.0,유니드(014830) 중국 경질 탄산칼륨 재편의 수혜주,,,0.5476190476190477,,,0.5476190476190477
023910,대한약품,Unknown,3.2,2.5,1,1,0.0,대한약품(023910) 안정적인 수액제 생산 & Valuation 저평가,,,0.5476190476190477,,,0.5476190476190477
036800,나이스정보통신,Unknown,3.2,2.5,1,1,0.0,"나이스정보통신(036800) Valuation 저평가, TRS 성장성",,,0.5476190476190477,,,0.5476190476190477
086450,동국제약,Unknown,3.2,2.5,1,1,0.0,"동국제약(086450) 성장성: 화장품, 모멘텀: DDS",,,0.5476190476190477,,,0.5476190476190477
120110,코오롱인더,Unknown,3.2,2.5,1,1,0.0,"코오롱인더(120110) 실적은 반등, 포트폴리오는 진화",,,0.5476190476190477,,,0.5476190476190477
