symbol,name,sector,composite_score,value_score,momentum_score,quality_score,flow_score,news_score,current_price,fair_value_bear,fair_value_base,fair_value_bull,fair_value_gap_pct,fair_value_confidence_score,fair_value_status_label,valuation_primary_method,valuation_anchor_mix,valuation_peer_group,valuation_reason_summary,valuation_missing_inputs,valuation_family,valuation_driver,valuation_revision_revenue_pct,valuation_revision_op_pct,valuation_revision_net_pct,valuation_analyst_target_upside_pct,analyst_conviction_score,analyst_avg_score,analyst_report_count,analyst_broker_diversity,analyst_target_revision_pct,analyst_novelty_score,analyst_fwd_ret_5d,analyst_fwd_ret_20d,analyst_alpha_ret_5d,analyst_alpha_ret_20d,analyst_bias_adjustment,analyst_parse_quality_score,analyst_pdf_coverage,analyst_target_upside_pct,analyst_target_dispersion_pct,analyst_agreement_score,analyst_recency_score,analyst_latest_title,analyst_revision_breadth_score,analyst_revision_breadth_count,analyst_positive_revision_ratio,analyst_peer_spillover_score,analyst_peer_alpha_5d,analyst_peer_support_count,event_alpha_score,event_expected_alpha_1d,event_expected_alpha_3d,event_expected_alpha_5d,event_recent_count,event_recent_positive_count,event_recent_negative_count,event_last_type,event_last_bias,event_last_days_ago,event_best_strategy,event_backtest_confidence,event_valid_sample_size,event_price_coverage_pct,event_interpretation_label,event_interpretation_note,event_tactical_label,event_tactical_note,event_sector,event_sector_valid_sample_size,event_sector_price_coverage_pct,event_sector_interpretation_label,event_sector_tactical_label,event_sector_interpretation_note,event_sector_tactical_note,event_sector_reaction_profile,event_sector_interpretable_score,event_interpretable_score,event_win_rate_5d,event_sample_size,event_reaction_profile,macro_sector_score,macro_regime_score,macro_micro_interaction_score,ml_pred_return_5d,ml_pred_score,ml_sector_score,ml_model_type,ml_train_rows,flow_top_brokers,flow_event_mix,micro_ofi,micro_foreign_pressure,micro_broker_concentration,micro_queue_imbalance,micro_absorption_score,microstructure_score,flow_intraday_samples,flow_intraday_avg_5m,flow_intraday_avg_15m,flow_intraday_avg_30m,flow_intraday_avg_60m,flow_intraday_last_event,flow_intraday_last_captured_at,factor_rank_score,analyst_rank_score,flow_state_score,flow_rank_score,flow_intraday_edge_score,flow_intraday_rank_score,micro_rank_score,macro_rank_score,ml_rank_score,event_rank_score,active_source_count,card_score
000150,두산,복합기업,,,,,,,,,,,,0.0,,,,,,,,,,,,,10.1674,3.6428,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2359,0.6018,0.0,30.6729,0.0,1.0,0.3274,서버 구조의 변화는 중장기 성장의 근거,1.0,1.0,1.0,0.278,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.680891719745223,0.1131537537330804,0.9363057324840764,0.8004246284501062,numpy_mlp,461,,,,,,,,,0,,,,,,,,0.8571428571428571,,,,,,0.8980891719745223,0.9363057324840764,,3,0.8135573423391895
083500,에프엔에스테크,디스플레이장비및부품,,,,,,,,,,,,0.0,,,,,,,,,,,,,12.1068,5.3707,2.0,1.0,0.0,0.7725,0.0,0.0,0.0,0.0,0.0274,0.7957,0.5,80.072,0.0,1.0,0.3274,에프엔에스테크(083500) 수익성 개선 흐름 본격화될 전망,1.0,1.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.7238853503184715,-0.009585882270776357,0.6624203821656051,0.5079617834394904,numpy_mlp,461,,,,,,,,,0,,,,,,,,0.9880952380952381,,,,,,0.9936305732484076,0.6624203821656051,,3,0.8120402288794009
017960,한국카본,조선,,,,,,,,,,,,0.0,,,,,,,,,,,,,10.1796,3.9355,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0521,0.537,0.0,33.6516,0.0,1.0,0.3116,LNG 보냉제 성장에 방산까지 영역 확대,1.0,1.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.6923566878980892,0.035576469351364354,0.8089171974522293,0.45329087048832273,numpy_mlp,461,,,,,,,,,0,,,,,,,,0.8690476190476191,,,,,,0.9235668789808917,0.8089171974522293,,3,0.7899082207601315
120110,코오롱인더,화학/석유화학,,,,,,,,,,,,0.0,,,,,,,,,,,,,10.036,4.0977,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0102,1.0,1.0,27.2189,0.0,1.0,0.3274,"코오롱인더(120110) 실적은 반등, 포트폴리오는 진화",1.0,1.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.700955414012739,0.03811273514493466,0.821656050955414,0.8895966029723992,numpy_mlp,461,,,,,,,,,0,,,,,,,,0.8452380952380952,,,,,,0.9426751592356688,0.821656050955414,,3,0.787647424231819
004170,신세계,유통/백화점,,,,,,,,,,,,0.0,,,,,,,,,,,,,10.0012,4.3338,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.5812,0.0,22.1167,0.0,1.0,0.3116,인바운드 증가 모멘텀은 2Q에 더 강화될 전망,1.0,1.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.7095541401273886,0.04060706635907408,0.8343949044585988,0.8025477707006369,numpy_mlp,461,,,,,,,,,0,,,,,,,,0.8214285714285714,,,,,,0.9617834394904459,0.8343949044585988,,3,0.7853866277035066
012450,한화에어로스페이스,방위산업/우주항공,0.7393055555555555,0.6222222222222222,0.8,0.611111111111111,0.95,0.5541666666666666,1449000.0,1924719.18,2672165.2,2842415.91,84.41,0.6536,할인 구간,피어,피어 73 | 실적 27,방위산업/우주항공 / EV/EBITDA 확장,피어 멀티플 대비 할인 / 실적 추정 보정,애널 목표가,EV/EBITDA,op,-1.35,-3.6,-4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.5920382165605096,-0.007261053872032481,0.6751592356687898,0.6751592356687898,numpy_mlp,461,,,,,,,,,0,,,,,,,1.0,,,,,,,0.7006369426751592,0.6751592356687898,,3,0.7844347133757962
081660,미스토홀딩스,의류/섬유,,,,,,,,,,,,0.0,,,,,,,,,,,,,11.7239,5.0365,2.0,1.0,0.0,0.7581,0.0,0.0,0.0,0.0,0.0235,0.8224,0.5,38.7755,0.0,1.0,0.3614,"미스토홀딩스(081660) 4Q25 Review : 턴어라운드 본격화 전망되나, K패션은 기다림이 필요",1.0,1.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.7210191082802548,-0.03081876565150176,0.5923566878980892,0.5923566878980892,numpy_mlp,461,,,,,,,,,0,,,,,,,,0.9642857142857143,,,,,,0.9872611464968153,0.5923566878980892,,3,0.7831258311751943
327260,RF머트리얼즈,우주항공과국방,,,,,,,,,,,,0.0,,,,,,,,,,,,,11.0849,2.5663,1.0,1.0,0.0,0.8,7.4128,0.0,9.2717,0.0,0.164,0.5782,0.0,86.9159,0.0,1.0,0.2686,광모듈 수요가 끝이 없다,1.0,1.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.6407643312101912,0.02736628802416905,0.7770700636942676,0.8471337579617835,numpy_mlp,461,,,,,,,,,0,,,,,,,,0.9285714285714286,,,,,,0.8089171974522293,0.7770700636942676,,3,0.7824416427521522
200710,에이디테크놀로지,반도체와반도체장비,,,,,,,,,,,,0.0,,,,,,,,,,,,,9.5794,3.242,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.1377,0.5362,0.0,25.2747,0.0,1.0,0.3614,콥데이 후기: 전성기를 넘어보자,1.0,1.0,1.0,0.2518,0.0,2.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.6722929936305733,0.10119308554531972,0.9235668789808917,0.60828025477707,numpy_mlp,461,,,,,,,,,0,,,,,,,,0.7619047619047619,,,,,,0.8789808917197452,0.9235668789808917,,3,0.7691148421642052
023530,롯데쇼핑,유통/백화점,,,,,,,,,,,,0.0,,,,,,,,,,,,,9.6018,3.1377,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.0608,0.6198,0.0,33.7047,0.0,1.0,0.344,백화점에서 확산되는 온기(溫氣),1.0,1.0,1.0,0.0874,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.6665605095541403,0.05065226243558139,0.8662420382165605,0.8025477707006369,numpy_mlp,461,,,,,,,,,0,,,,,,,,0.7738095238095238,,,,,,0.8662420382165605,0.8662420382165605,,3,0.7562937460628543
010060,OCI홀딩스,화학,,,,,,,,,,,,0.0,,,,,,,,,,,,,9.6824,2.9182,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.043,0.6035,0.0,77.6316,0.0,1.0,0.3798,태양광 중심으로 재편되는 에너지 안보 패러..,1.0,1.0,1.0,0.0453,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.660828025477707,0.03640302305771483,0.8152866242038217,0.4658780709736124,numpy_mlp,461,,,,,,,,,0,,,,,,,,0.7857142857142857,,,,,,0.8535031847133758,0.8152866242038217,,3,0.7451385000349969
365340,성일하이텍,전기제품,,,,,,,,,,,,0.0,,,,,,,,,,,,,9.7708,4.2306,2.0,1.0,0.0,0.7794,0.0,0.0,0.0,0.0,-0.1022,0.925,0.5,15.873,0.0,1.0,0.3274,성일하이텍(365340) 콥데이 後記: 본격적인 실적 턴러어라운드 시작,1.0,1.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.7038216560509555,-0.00955233752955454,0.6687898089171974,0.8789808917197451,numpy_mlp,461,,,,,,,,,0,,,,,,,,0.8095238095238095,,,,,,0.9490445859872612,0.6687898089171974,,3,0.7349054210121089
039030,이오테크닉스,IT하드웨어 (반도체),,,,,,,,,,,,0.0,,,,,,,,,,,,,10.0089,3.9465,2.0,1.0,0.0,0.7408,0.0,0.0,0.0,0.0,-0.0158,0.834,0.5,15.8901,0.0,1.0,0.3614,이오테크닉스(039030) NAND 고단화 수혜 예상,1.0,1.0,1.0,0.321,3.4968,2.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.6952229299363057,-0.044223638700556664,0.5732484076433121,0.7112526539278132,numpy_mlp,461,,,,,,,,,0,,,,,,,,0.8333333333333334,,,,,,0.9299363057324841,0.5732484076433121,,3,0.7155101665850074
012330,현대모비스,자동차부품/타이어,0.5558861111111111,0.8444444444444444,0.37,0.3888888888888889,0.66875,0.6333333333333333,388500.0,400118.62,455603.43,498481.52,17.27,0.6453,중립 구간,피어,피어 73 | 실적 27,자동차부품/타이어 / PER 확장,피어 멀티플 대비 할인 / 실적 추정 보정,애널 목표가,PER,net,-1.35,-3.6,-4.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.5719745222929937,0.06676496458206499,0.89171974522293,0.8450106157112526,numpy_mlp,461,,,,,,,,,0,,,,,,,0.75,,,,,,,0.6560509554140127,0.89171974522293,,3,0.7095506784824148
006400,삼성SDI,2차전지/배터리,,,,,,,,,,,,0.0,,,,,,,,,,,,,8.728,2.3091,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0181,0.582,0.0,28.7554,0.0,1.0,0.3614,26년 영업 흑자 전환 예상,1.0,1.0,1.0,0.2414,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.6264331210191083,0.07771144524271661,0.910828025477707,0.7420382165605096,numpy_mlp,461,,,,,,,,,0,,,,,,,,0.6309523809523809,,,,,,0.7770700636942676,0.910828025477707,,3,0.6944193147616715
215200,메가스터디교육,교육서비스,,,,,,,,,,,,0.0,,,,,,,,,,,,,9.0837,3.2167,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0739,1.0,1.0,25.0,0.0,1.0,0.3798,메가스터디교육(215200) 국내 교육기업 대장,1.0,1.0,1.0,-0.0773,-0.3935,1.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.6694267515923568,0.004031392282522854,0.7261146496815286,0.5222929936305732,numpy_mlp,461,,,,,,,,,0,,,,,,,,0.6904761904761905,,,,,,0.8726114649681529,0.7261146496815286,,3,0.6882021243088121
005440,현대지에프홀딩스,복합기업,,,,,,,,,,,,0.0,,,,,,,,,,,,,8.3024,2.2999,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,-0.051,0.6322,0.0,18.75,0.0,1.0,0.3274,조정이 주는 멋진 기회!,1.0,1.0,1.0,0.3397,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.6235668789808918,0.10413948829774056,0.9299363057324841,0.8004246284501062,numpy_mlp,461,,,,,,,,,0,,,,,,,,0.5833333333333334,,,,,,0.7707006369426752,0.9299363057324841,,3,0.6794861587457128
011070,LG이노텍,디스플레이/IT부품,,,,,,,,,,,,0.0,,,,,,,,,,,,,8.9806,2.8568,2.0,2.0,0.0,0.7964,0.0,0.0,0.0,0.0,-0.0036,0.5832,0.0,17.5549,4.0,0.96,0.3614,안 살 이유가 없다,1.0,2.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.6579617834394905,0.01034224658608223,0.7452229299363057,0.7452229299363057,numpy_mlp,461,,,,,,,,,0,,,,,,,,0.6547619047619048,,,,,,0.8471337579617835,0.7452229299363057,,3,0.674191135297823
