symbol,name,sector,composite_score,value_score,momentum_score,quality_score,flow_score,news_score,analyst_conviction_score,analyst_avg_score,analyst_report_count,analyst_broker_diversity,analyst_target_revision_pct,analyst_novelty_score,analyst_fwd_ret_5d,analyst_fwd_ret_20d,analyst_alpha_ret_5d,analyst_alpha_ret_20d,analyst_bias_adjustment,analyst_parse_quality_score,analyst_pdf_coverage,analyst_target_upside_pct,analyst_target_dispersion_pct,analyst_agreement_score,analyst_recency_score,analyst_latest_title,analyst_revision_breadth_score,analyst_revision_breadth_count,analyst_positive_revision_ratio,analyst_peer_spillover_score,analyst_peer_alpha_5d,analyst_peer_support_count,event_alpha_score,event_expected_alpha_1d,event_expected_alpha_3d,event_expected_alpha_5d,event_recent_count,event_recent_positive_count,event_recent_negative_count,event_last_type,event_last_bias,event_last_days_ago,event_best_strategy,event_backtest_confidence,event_valid_sample_size,event_price_coverage_pct,event_interpretation_label,event_interpretation_note,event_tactical_label,event_tactical_note,event_interpretable_score,event_win_rate_5d,event_sample_size,event_reaction_profile,macro_sector_score,macro_regime_score,macro_micro_interaction_score,ml_pred_return_5d,ml_pred_score,ml_sector_score,ml_model_type,ml_train_rows,flow_top_brokers,flow_event_mix,micro_ofi,micro_foreign_pressure,micro_broker_concentration,micro_queue_imbalance,micro_absorption_score,microstructure_score,flow_intraday_samples,flow_intraday_avg_5m,flow_intraday_avg_15m,flow_intraday_avg_30m,flow_intraday_avg_60m,flow_intraday_last_event,flow_intraday_last_captured_at,factor_rank_score,analyst_rank_score,flow_state_score,flow_rank_score,flow_intraday_edge_score,flow_intraday_rank_score,micro_rank_score,macro_rank_score,ml_rank_score,event_rank_score,active_source_count,card_score
023910,대한약품,제약,,,,,,,11.451,4.371,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0739,1.0,1.0,32.67,0.0,1.0,0.5653,대한약품(023910) 안정적인 수액제 생산 & Valuation 저평가,1.0,1.0,1.0,0.2593,0.0,4.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.6,0.7031593406593406,0.14599340183018414,0.9560439560439561,0.5164835164835164,numpy_mlp,413,,,,,,,,,0,,,,,,,,0.9404761904761905,,,,,,0.9395604395604396,0.9560439560439561,,3,0.8595467032967031
083500,에프엔에스테크,디스플레이장비및부품,,,,,,,12.2666,5.3707,2.0,1.0,0.0,0.7725,0.0,0.0,0.0,0.0,0.0274,0.7957,0.5,80.072,0.0,1.0,0.4873,에프엔에스테크(083500) 수익성 개선 흐름 본격화될 전망,1.0,1.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.6,0.7179945054945055,0.016977503941362146,0.8186813186813187,0.5274725274725275,numpy_mlp,413,,,,,,,,,0,,,,,,,,0.9880952380952381,,,,,,0.9725274725274725,0.8186813186813187,,3,0.8487690194420963
010950,S-Oil,화학/석유화학,,,,,,,10.958,4.3043,2.0,2.0,0.0,0.7982,0.0,0.0,0.0,0.0,-0.0438,0.7891,0.5,23.1818,3.321,0.6668,0.538,"호르무즈 봉쇄, 오히려 전화위복!",1.0,2.0,1.0,0.3577,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.6,0.6982142857142857,0.1700964983308692,0.967032967032967,0.8173076923076923,numpy_mlp,413,,,,,,,,,0,,,,,,,,0.9047619047619048,,,,,,0.9285714285714286,0.967032967032967,,3,0.846254226542688
032500,케이엠더블유,통신장비/네트워크,,,,,,,11.1108,3.954,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.2617,0.6532,0.0,167.3797,0.0,1.0,0.4873,실적 확인하고 매수하시면 늦습니다,1.0,1.0,1.0,0.2829,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.6,0.6907967032967033,0.15072870894013704,0.9615384615384616,0.49725274725274726,numpy_mlp,413,,,,,,,,,0,,,,,,,,0.9166666666666666,,,,,,0.9120879120879121,0.9615384615384616,,3,0.846254226542688
036570,엔씨소프트,엔터테인먼트/게임,,,,,,,11.9493,3.7815,3.0,2.0,0.0,0.784,0.0,0.0,0.0,0.0,-0.0486,0.7493,0.3333,65.9452,8.6083,0.9139,0.5653,엔씨소프트(036570) 실적은 센티를 이긴다,1.0,2.0,1.0,0.238,0.0,4.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.6,0.678434065934066,0.06641472556371099,0.8791208791208791,0.6021978021978022,numpy_mlp,413,,,,,,,,,0,,,,,,,,0.9761904761904762,,,,,,0.8901098901098901,0.8791208791208791,,3,0.8437394336432799
039030,이오테크닉스,IT하드웨어 (반도체),,,,,,,10.1854,3.9465,2.0,1.0,0.0,0.7408,0.0,0.0,0.0,0.0,-0.0158,0.834,0.5,15.8901,0.0,1.0,0.538,이오테크닉스(039030) NAND 고단화 수혜 예상,1.0,1.0,1.0,0.321,3.4968,2.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,8.0,0.6,0.963324175824176,0.36867546124688927,0.989010989010989,0.9917582417582418,numpy_mlp,413,,,,,,,,,0,,,,,,,,0.8333333333333334,,,,,,1.0,0.989010989010989,,3,0.8379913355874894
081660,미스토홀딩스,의류/섬유,,,,,,,11.9004,5.0365,2.0,1.0,0.0,0.7581,0.0,0.0,0.0,0.0,0.0235,0.8224,0.5,38.7755,0.0,1.0,0.538,"미스토홀딩스(081660) 4Q25 Review : 턴어라운드 본격화 전망되나, K패션은 기다림이 필요",1.0,1.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.6,0.715521978021978,0.00023455131703931272,0.7857142857142857,0.510989010989011,numpy_mlp,413,,,,,,,,,0,,,,,,,,0.9642857142857143,,,,,,0.967032967032967,0.7857142857142857,,3,0.8297284446322909
005680,삼영전자,전기제품,,,,,,,10.6512,3.4691,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0363,1.0,1.0,38.0991,0.0,1.0,0.512,"삼영전자(005680) 순현금이 많은 기업, 신사업 추진",1.0,1.0,1.0,0.3627,0.0,1.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.6,0.6759615384615385,0.17290192896941722,0.9725274725274725,0.9194139194139194,numpy_mlp,413,,,,,,,,,0,,,,,,,,0.8809523809523809,,,,,,0.8846153846153846,0.9725274725274725,,3,0.8297284446322908
086450,동국제약,제약,,,,,,,10.8144,4.9732,1.0,1.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22.549,0.0,1.0,0.4637,"동국제약(086450) 성장성: 화장품, 모멘텀: DDS",1.0,1.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.6,0.7130494505494505,0.06844342874912272,0.8901098901098901,0.5164835164835164,numpy_mlp,413,,,,,,,,,0,,,,,,,,0.8928571428571429,,,,,,0.9615384615384616,0.8901098901098901,,3,0.8279321639898563
327260,RF머트리얼즈,우주항공과국방,,,,,,,11.216,2.5663,1.0,1.0,0.0,0.8,7.4128,0.0,9.2717,0.0,0.164,0.5782,0.0,86.9159,0.0,1.0,0.3997,광모듈 수요가 끝이 없다,1.0,1.0,1.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,,0.0,0.6,0.6438186813186813,0.05472688903754325,0.8516483516483516,0.7875457875457875,numpy_mlp,413,,,,,,,,,0,,,,,,,,0.9285714285714286,,,,,,0.8131868131868132,0.8516483516483516,,3,0.8027842349957733
